job_title,ai_impact,task_count,ai_model,ai_workload_ratio,domain_area
Communications Manager,98%,365,2546,0.1433621367,Communication & PR
Data Collector,95%,299,2148,0.1391992551,Data & IT
Data Entry,95%,325,2278,0.1426690079,Administrative & Clerical
Mail Clerk,95%,193,1366,0.1412884334,Leadership & Strategy
Compliance Officer,92%,194,1369,0.1417092768,Medical & Healthcare
Chief Executive Officer (CEO),91%,153,1135,0.1348017621,Supply Chain & Logistics
Therapist,90%,114,983,0.1159715158,Law Enforcement
Chief Strategy Officer,90%,184,1284,0.1433021807,Construction
Admin,90%,253,2014,0.1256206554,Sales & Marketing
General Clerk,90%,242,1903,0.1271676301,Hospitality
Mail Handler,90%,188,1350,0.1392592593,Communication & PR
Data Clerk,90%,317,2258,0.1403897254,Data & IT
Data Entry Clerk,90%,328,2305,0.1422993492,Administrative & Clerical
Data Entry Operator,90%,329,2311,0.1423626136,Leadership & Strategy
Data Entry Specialist,90%,334,2358,0.1416454623,Medical & Healthcare
Medical Transcriptionist,90%,189,1265,0.1494071146,Supply Chain & Logistics
Street Sweeper,90%,3,82,0.03658536585,Law Enforcement
Supply Clerk,90%,115,901,0.12763596,Construction
Warehouse Worker,90%,68,607,0.1120263591,Sales & Marketing
Web Search Evaluator,90%,243,1599,0.1519699812,Hospitality
Development Manager,89%,217,1558,0.1392811297,Communication & PR
Delivery Driver,88%,20,309,0.06472491909,Data & IT
Chief Security Officer,88%,142,1116,0.1272401434,Administrative & Clerical
File Clerk,88%,228,1797,0.1268781302,Leadership & Strategy
Mail Processing,88%,189,1336,0.1414670659,Medical & Healthcare
Director Of Operations,87%,198,1397,0.1417322835,Supply Chain & Logistics
Direct Support Professional,86%,117,1018,0.1149312377,Law Enforcement
Chief Communications Officer,85%,284,2118,0.134088763,Construction
Administrative Clerk,85%,270,2070,0.1304347826,Sales & Marketing
Executive Assistant,85%,276,2112,0.1306818182,Hospitality
General Office Clerk,85%,245,1912,0.1281380753,Communication & PR
Transcriber,85%,205,1359,0.1508462104,Data & IT
Sql Programmer,85%,179,1665,0.1075075075,Administrative & Clerical
Vba Developer,85%,191,1672,0.1142344498,Leadership & Strategy
Medical Scribe,85%,202,1696,0.1191037736,Medical & Healthcare
Special Agent,85%,45,462,0.0974025974,Supply Chain & Logistics
Purchasing Clerk,85%,180,1306,0.1378254211,Law Enforcement
Bricklayer,85%,3,30,0.1,Construction
Telemarketer,85%,179,1281,0.1397345824,Sales & Marketing
Bakery Manager,84%,97,804,0.1206467662,Hospitality
Banquet Manager,83%,99,802,0.1234413965,Communication & PR
Clerk Typist,83%,263,1986,0.1324269889,Data & IT
Assistant,82%,240,1600,0.15,Administrative & Clerical
Business Relationship Manager,82%,194,1467,0.1322426721,Leadership & Strategy
Distribution Manager,80%,198,1436,0.1378830084,Medical & Healthcare
Administrative Assistant,80%,286,2155,0.1327146172,Supply Chain & Logistics
Administrative Secretary,80%,268,2076,0.1290944123,Law Enforcement
Clerical Assistant,80%,265,2004,0.1322355289,Construction
Executive Administrative Assistant,80%,279,2124,0.1313559322,Sales & Marketing
Order Filler,80%,133,1021,0.1302644466,Hospitality
Records Clerk,80%,222,1784,0.1244394619,Communication & PR
Scribe,80%,202,1623,0.1244608749,Data & IT
Typist,80%,208,1364,0.1524926686,Administrative & Clerical
Dishwasher,80%,3,31,0.09677419355,Leadership & Strategy
Digital Project Manager,80%,231,1922,0.1201873049,Medical & Healthcare
Technical Project Manager,80%,205,1521,0.1347797502,Supply Chain & Logistics
Grocer,80%,50,377,0.1326259947,Law Enforcement
Finance Officer,80%,167,1516,0.1101583113,Construction
Word Processor,80%,264,1707,0.1546572935,Sales & Marketing
Market Research Interviewer,80%,210,1825,0.1150684932,Hospitality
Pl Sql Developer,80%,183,1686,0.1085409253,Communication & PR
Quantitative Developer,80%,182,1667,0.1091781644,Data & IT
Statistical Programmer,80%,187,1669,0.1120431396,Administrative & Clerical
Tableau Developer,80%,188,1668,0.1127098321,Leadership & Strategy
Data Modeler,80%,216,1767,0.1222410866,Medical & Healthcare
Database Analyst,80%,218,1773,0.1229554428,Supply Chain & Logistics
Database Developer,80%,205,1726,0.1187717265,Law Enforcement
Etl Developer,80%,184,1670,0.1101796407,Construction
Hadoop Developer,80%,181,1643,0.1101643335,Sales & Marketing
Sql Analyst,80%,212,1761,0.1203861442,Hospitality
Procurement Assistant,80%,179,1316,0.1360182371,Communication & PR
Receiving Associate,80%,92,733,0.1255115962,Data & IT
Warehouse Associate,80%,78,664,0.1174698795,Administrative & Clerical
Press Operator,80%,84,1077,0.07799442897,Leadership & Strategy
Pressman,80%,83,1068,0.07771535581,Medical & Healthcare
Printing Press Operator,80%,93,1065,0.08732394366,Supply Chain & Logistics
Automation Test Engineer,80%,159,1547,0.1027795734,Law Enforcement
Automation Tester,80%,158,1541,0.1025308241,Construction
QA Automation Engineer,80%,155,1525,0.1016393443,Sales & Marketing
Tax Preparer,80%,153,1263,0.1211401425,Hospitality
Associate,79%,175,1298,0.1348228043,Communication & PR
Chief Learning Officer,79%,162,1250,0.1296,Data & IT
Web Project Manager,78%,217,1845,0.1176151762,Administrative & Clerical
Medical Coding Specialist,78%,171,1250,0.1368,Leadership & Strategy
Front Desk,77%,215,1779,0.1208544126,Medical & Healthcare
Credit Manager,76%,151,1094,0.1380255941,Supply Chain & Logistics
Advertising Manager,75%,195,1370,0.1423357664,Law Enforcement
Caller,75%,131,1085,0.1207373272,Construction
Phone Sales,75%,11,54,0.2037037037,Sales & Marketing
Telesales Representative,75%,145,1049,0.1382268827,Hospitality
Accounting Clerk,75%,145,1299,0.1116243264,Communication & PR
Administrative Associate,75%,281,2139,0.131369799,Data & IT
Administrative Coordinator,75%,281,2128,0.1320488722,Administrative & Clerical
Corporate Receptionist,75%,15,58,0.2586206897,Leadership & Strategy
Desk Receptionist,75%,14,56,0.25,Medical & Healthcare
Executive Secretary,75%,159,1176,0.1352040816,Supply Chain & Logistics
Front Desk Clerk,75%,223,1801,0.1238200999,Law Enforcement
Front Desk Receptionist,75%,225,1803,0.1247920133,Construction
Front Office Receptionist,75%,226,1812,0.1247240618,Sales & Marketing
Mail Sorter,75%,136,1219,0.1115668581,Hospitality
Order Clerk,75%,151,1336,0.1130239521,Communication & PR
Medical Coder,75%,109,773,0.1410090556,Data & IT
Purchasing Assistant,75%,163,1417,0.1150317572,Administrative & Clerical
Supply Technician,75%,121,979,0.1235955056,Leadership & Strategy
Android Developer,75%,147,1393,0.1055276382,Medical & Healthcare
Ios Developer,75%,148,1394,0.106169297,Supply Chain & Logistics
Chief Of Staff,75%,180,1405,0.128113879,Law Enforcement
Intelligence Analyst,75%,169,1185,0.1426160338,Construction
Photo Retoucher,75%,193,1464,0.1318306011,Sales & Marketing
Full Charge Bookkeeper,75%,123,858,0.1433566434,Hospitality
Grant Accountant,75%,128,886,0.144469526,Communication & PR
Epic Analyst,75%,114,798,0.1428571429,Data & IT
It Project Manager,75%,221,1840,0.1201086957,Administrative & Clerical
Software Project Manager,75%,175,1442,0.1213592233,Leadership & Strategy
Technology Project Manager,75%,175,1443,0.1212751213,Medical & Healthcare
Cobol Developer,75%,130,929,0.1399354144,Supply Chain & Logistics
Quantitative Analyst,75%,8,46,0.1739130435,Law Enforcement
Quantitative Research Analyst,75%,168,1096,0.1532846715,Construction
Report Developer,75%,146,969,0.1506707946,Sales & Marketing
Sas Developer,75%,133,932,0.1427038627,Hospitality
Statistical Analyst,75%,166,1087,0.1527138914,Communication & PR
Backend Developer,75%,144,1012,0.1422924901,Data & IT
Data Architect,75%,162,1081,0.1498612396,Administrative & Clerical
Database Designer,75%,162,1081,0.1498612396,Leadership & Strategy
Database Engineer,75%,12,55,0.2181818182,Medical & Healthcare
Gis Developer,75%,9,48,0.1875,Supply Chain & Logistics
Informatica Developer,75%,131,925,0.1416216216,Law Enforcement
Ui Developer,75%,152,1088,0.1397058824,Construction
Ux Developer,75%,9,48,0.1875,Sales & Marketing
Stenographer,75%,8,49,0.1632653061,Hospitality
Allocation Analyst,74%,155,1102,0.1406533575,Communication & PR
Business Operations Manager,71%,163,1330,0.122556391,Data & IT
Ecommerce,70%,161,1513,0.1064111038,Administrative & Clerical
Solar Sales,70%,128,1153,0.1110147441,Leadership & Strategy
Developer,70%,139,992,0.1401209677,Medical & Healthcare
Javascript Developer,70%,150,1039,0.1443695861,Supply Chain & Logistics
Perl Developer,70%,129,927,0.1391585761,Law Enforcement
Pega Developer,70%,132,932,0.1416309013,Construction
Sap Developer,70%,131,929,0.1410118407,Sales & Marketing
Clinical Informatics Specialist,70%,140,996,0.140562249,Hospitality
Cloud Engineer,70%,152,1013,0.1500493583,Communication & PR
Data Scientist,70%,180,1091,0.1649862511,Data & IT
Database Programmer,70%,160,1022,0.156555773,Administrative & Clerical
Information Assurance,70%,8,46,0.1739130435,Leadership & Strategy
Oracle Developer,70%,8,46,0.1739130435,Medical & Healthcare
Sql Database Developer,70%,10,49,0.2040816327,Supply Chain & Logistics
Sql Developer,70%,10,49,0.2040816327,Law Enforcement
Sql Server Developer,70%,10,49,0.2040816327,Construction
Teradata Developer,70%,8,46,0.1739130435,Sales & Marketing
Net Developer,70%,8,46,0.1739130435,Hospitality
Sports Analyst,70%,9,50,0.18,Communication & PR
Chief Of Police,70%,122,1047,0.1165234002,Data & IT
Emergency Dispatcher,70%,156,1015,0.1536945813,Administrative & Clerical
Investigative Analyst,70%,194,1175,0.165106383,Leadership & Strategy
Police Dispatcher,70%,164,1039,0.1578440808,Medical & Healthcare
Polygraph Examiner,70%,101,770,0.1311688312,Supply Chain & Logistics
Public Safety Dispatcher,70%,164,1039,0.1578440808,Law Enforcement
Regulatory Analyst,70%,183,1105,0.1656108597,Construction
Security Consultant,70%,151,986,0.1531440162,Sales & Marketing
Embedded Systems Engineer,70%,119,853,0.1395076202,Hospitality
